x,y
-15.2198,-1.9347
-14.8799,3.29365
-14.6372,-3.07205
-14.5058,-0.534984
-14.3902,0.530512
-14.3245,-5.62453
-14.3275,-1.8686
-14.1821,-3.26131
-14.1842,-1.29153
-14.2033,-1.32585
-14.2111,-0.191975
-14.2235,-0.0755357
-14.2249,3.7932
-14.0713,-3.21622
-14.0702,-0.353235
-14.0787,0.488003
-14.0601,1.06717
-14.1482,1.91678
-14.145,3.62801
-13.9884,-3.73018
-14.0198,-3.73775
-13.9758,-1.11167
-13.9928,-0.992783
-14.0067,-0.561806
-13.9804,3.40738
-13.9559,4.15043
-13.8928,-2.14757
-13.9125,0.0838586
-13.863,0.241603
-13.926,0.747677
-13.8813,0.968602
-13.9494,1.10822
-13.9121,1.58786
-13.9435,3.54248
-13.7711,-4.12006
-13.8385,-1.31683
-13.8183,-0.124069
-13.7795,-0.0406454
-13.8471,0.72278
-13.7713,1.03759
-13.7678,1.08555
-13.7678,1.1737
-13.7671,2.09043
-13.78,2.60205
-13.7554,5.68143
-13.6716,-2.68745
-13.7049,-2.13968
-13.7308,-1.30803
-13.7234,-0.884039
-13.6595,0.423459
-13.7155,1.32498
-13.7131,2.41518
-13.7336,3.57169
-13.6446,-4.87343
-13.5907,-2.89685
-13.6443,-2.02016
-13.5601,-1.93098
-13.59,-1.88232
-13.6169,-1.40506
-13.5577,-1.18482
-13.6473,-1.06935
-13.6368,-0.915032
-13.65,-0.645145
-13.6101,-0.337507
-13.6442,-0.0391186
-13.6391,0.262462
-13.5605,1.26638
-13.5664,1.31423
-13.6065,1.50825
-13.5543,2.25445
-13.5687,2.33126
-13.6251,3.26103
-13.5791,3.82529
-13.5113,-5.54798
-13.538,-2.87706
-13.4703,-2.78258
-13.5158,-1.82277
-13.5209,-1.48759
-13.482,-1.39461
-13.5115,-1.13763
-13.496,-0.995014
-13.4844,-0.892304
-13.5415,-0.794629
-13.5477,0.0991858
-13.5157,0.0843244
-13.5467,0.698738
-13.5219,2.41492
-13.4694,4.05227
-13.4538,4.44622
-13.4656,4.48861
-13.3887,-4.88702
-13.3596,-3.79772
-13.3535,-3.61373
-13.4366,-3.03302
-13.4053,-2.72526
-13.3901,-2.58115
-13.4159,-2.13468
-13.371,-2.0096
-13.4496,-1.79711
-13.3664,-1.26279
-13.3641,-1.06406
-13.4065,-0.424406
-13.4271,0.620517
-13.4146,1.36928
-13.4303,1.46497
-13.4105,1.79986
-13.3906,1.87597
-13.3995,2.11883
-13.4187,2.5229
-13.3593,3.21238
-13.3547,3.56928
-13.3985,3.83565
-13.4491,4.48173
-13.4031,5.11029
-13.2999,-4.20857
-13.333,-4.18976
-13.2927,-3.70644
-13.3359,-3.6777
-13.2575,-3.46753
-13.2937,-3.33808
-13.2711,-2.9645
-13.2695,-2.54421
-13.3349,-1.54956
-13.3221,-1.48391
-13.2687,-1.09729
-13.2808,-1.14119
-13.2505,-1.04066
-13.2987,-0.458387
-13.2516,-0.0969123
-13.3134,-0.0337843
-13.3405,0.356247
-13.2954,0.359796
-13.3329,1.29235
-13.3134,1.3512
-13.3292,1.3865
-13.2708,1.77088
-13.272,1.98681
-13.2652,2.06562
-13.2723,2.42042
-13.2599,2.39194
-13.3197,2.47613
-13.315,2.50603
-13.3022,2.80854
-13.3061,3.07026
-13.3157,4.5868
-13.3498,5.30925
-13.2133,-5.99931
-13.2005,-4.65161
-13.1721,-3.36517
-13.2357,-2.60068
-13.2498,-2.16163
-13.2178,-1.82923
-13.2348,-1.8316
-13.1599,-1.53041
-13.1511,-1.01713
-13.245,-0.698614
-13.1878,-0.681054
-13.2271,-0.488567
-13.2061,-0.539045
-13.2033,-0.436853
-13.1672,0.234223
-13.1776,0.548821
-13.2158,1.03389
-13.159,1.20661
-13.1785,1.30732
-13.1792,1.37412
-13.2231,2.07612
