x,y
-12.0406,-2.04056
-11.986,-1.6189
-11.9931,-1.45261
-11.9714,-1.39417
-12.0452,-0.626342
-11.9617,-0.519275
-12.0243,-0.509453
-12.0138,-0.525704
-12.0223,-0.436296
-11.9731,-0.378514
-12.0387,-0.303765
-12.0085,0.841297
-12.0012,0.902754
-12.0481,1.02456
-12.01,1.68388
-11.9748,1.75495
-12.0277,2.02555
-11.9562,2.17316
-11.9743,2.24523
-11.987,2.36545
-12.0317,2.73475
-11.9682,3.2362
-12.0231,3.64515
-12.0199,3.71684
-11.9943,3.65933
-11.9848,4.39285
-12.0121,4.46078
-11.9997,4.54674
-12.0232,4.80369
-12.0264,5.04065
-11.9546,5.83784
-12.027,6.23826
-11.9658,6.84663
-11.8888,-6.88642
-11.9443,-6.46714
-11.9306,-5.0751
-11.89,-4.99801
-11.8725,-4.40447
-11.9235,-3.50338
-11.8965,-3.42618
-11.8631,-2.84653
-11.9258,-2.75351
-11.9182,-2.80644
-11.8891,-2.49111
-11.917,-2.28351
-11.9008,-2.19056
-11.8847,-2.03576
-11.8885,-2.04481
-11.9432,-1.22661
-11.9363,-1.0192
-11.8644,-0.687204
-11.867,-0.459632
-11.8792,-0.39601
-11.8768,-0.0607234
-11.9427,0.231293
-11.9447,0.831592
-11.9465,1.20217
-11.9164,1.39487
-11.9365,1.75195
-11.8952,1.88648
-11.8921,2.09971
-11.9286,2.24221
-11.9398,2.18918
-11.9089,2.2764
-11.9,3.30001
-11.9262,3.38745
-11.9148,3.47877
-11.9496,3.63766
-11.8953,3.90473
-11.9303,4.09379
-11.9465,4.42563
-11.9167,4.71246
-11.865,5.13334
-11.8817,5.68899
-11.855,6.32895
-11.8903,6.39414
-11.773,-6.60583
-11.8341,-5.07153
-11.8499,-4.49228
-11.7664,-3.40983
-11.8393,-3.42359
-11.8202,-3.06982
-11.8353,-3.02847
-11.8408,-2.99012
-11.7756,-2.93912
-11.7701,-2.6034
-11.8396,-2.59188
-11.7939,-2.17461
-11.8358,-2.22881
-11.8313,-1.90232
-11.8232,-1.52691
-11.7838,-1.51894
-11.7831,-1.05906
-11.7889,-0.301146
-11.7646,-0.207687
-11.8188,-0.0923746
-11.8462,0.886633
-11.8494,1.14033
-11.7611,1.06133
-11.7824,2.18579
-11.8303,2.21944
-11.8367,2.26326
-11.8385,3.74831
-11.8201,3.81918
-11.8075,3.80096
-11.8209,3.98441
-11.769,4.331
-11.7056,-10.5801
-11.7498,-6.09286
-11.6986,-4.20567
-11.7361,-4.03305
-11.6776,-3.90092
-11.6986,-3.84942
-11.6853,-3.52461
-11.6808,-3.44587
-11.6605,-3.33495
-11.7425,-3.15319
-11.6557,-3.12298
-11.721,-2.99908
-11.7136,-2.59169
-11.7494,-2.30625
-11.6618,-1.97655
-11.691,-1.93983
-11.75,-1.62759
-11.6793,-1.2497
-11.7447,-0.967867
-11.7226,-0.887059
-11.7168,-0.132652
-11.7493,0.644377
-11.6539,0.76522
-11.7394,1.22081
-11.7034,1.31455
-11.721,1.78064
-11.6705,1.78771
-11.6803,1.91949
-11.7048,1.97678
-11.6557,3.20823
-11.6586,4.6501
-11.726,4.89226
-11.6595,7.07145
-11.6593,8.26502
-11.6326,-8.68206
-11.5756,-8.05037
-11.6137,-6.79508
-11.569,-6.50761
-11.5756,-3.59169
-11.5525,-3.25447
-11.6041,-2.7929
-11.6408,-2.45364
-11.5762,-2.13241
-11.6393,-2.03127
-11.6168,-1.66291
-11.6326,-1.30201
-11.5585,-1.15155
-11.6197,-1.02555
-11.6331,-0.487137
-11.6455,-0.545494
-11.5651,-0.26189
-11.6154,0.376163
-11.6062,0.450959
-11.6383,0.747855
-11.6086,0.819658
-11.5571,0.909273
-11.6116,0.955745
-11.6217,1.56125
-11.5915,1.61286
-11.601,1.96438
-11.6435,2.30058
-11.6382,2.56181
-11.5649,3.64195
-11.6412,3.80034
-11.585,3.87746
-11.6057,4.00209
-11.6273,4.25799
-11.6012,4.35523
-11.5605,4.48634
-11.6491,4.60278
-11.5556,4.74277
-11.6321,4.85027
-11.603,4.92298
-11.6337,7.58034
-11.6315,7.5655
-11.5063,-6.79886
-11.5493,-6.5981
-11.5283,-5.86929
-11.498,-5.41331
-11.5322,-5.0801
-11.4755,-5.04003
-11.5243,-4.32555
-11.4638,-4.21953
-11.5154,-3.96851
-11.4531,-3.84619
-11.4957,-3.45745
-11.5494,-2.70329
-11.5111,-2.52387
-11.5317,-2.37499
-11.4752,-2.34451
-11.5201,-2.13273
-11.4678,-2.13651
-11.4717,-1.87291
-11.5036,-1.78485
-11.5126,-1.75883
-11.5202,-1.58424
-11.5187,-1.18199
-11.5228,-1.21911
-11.4927,-1.23726
-11.4665,-0.919513
-11.4795,-0.700096
-11.4831,0.712532
-11.4884,0.83331
-11.5426,0.808664
-11.5259,0.890357
-11.4974,1.50017
-11.457,1.59282
-11.4992,1.63925
-11.4693,1.75996
-11.536,2.25375
-11.5059,2.59412
-11.4877,2.55763
-11.5495,2.70913
-11.5235,2.74177
-11.4593,3.168
-11.4501,3.54988
-11.4572,3.52863
-11.514,3.63699
-11.5364,3.66966
-11.5007,3.73371
-11.5212,3.82923
-11.4891,4.34024
-11.5352,4.58107
-11.4549,5.04506
-11.5328,5.78525
-11.4848,5.75564
-11.5475,6.21949
-11.464,7.09235
-11.369,-5.06805
-11.445,-4.88235
-11.4311,-4.92019
-11.3639,-4.59727
-11.4288,-4.31611
-11.4193,-4.22417
-11.4091,-3.98097
-11.4318,-3.8599
-11.4163,-3.74723
-11.3887,-3.58076
-11.4389,-3.32239
-11.3956,-3.33103
-11.4183,-2.62293
-11.3755,-2.59708
-11.397,-2.53118
-11.396,-2.44687
-11.3963,-2.31328
-11.396,-2.07985
-11.3821,-1.89016
-11.4173,-1.81893
-11.3715,-1.7817
-11.4165,-1.68492
-11.4109,-1.60281
-11.4195,-1.60317
-11.3593,-1.49772
-11.4368,-1.39582
-11.4172,-1.27256
-11.3736,-1.17545
-11.3948,-1.04844
-11.3808,0.687808
