x,y
-15.2198,-1.9347
-13.7342,6.83607
-13.5113,-5.54798
-13.2994,-4.46411
-13.2723,2.42042
-13.2158,1.03389
-13.1224,-2.80554
-12.9943,0.57654
-12.861,3.13303
-12.6299,-4.18843
-12.5586,-0.542694
-12.5519,3.74813
-12.5292,-1.53123
-12.4778,1.82203
-12.4954,4.53153
-12.3555,1.18787
-12.4119,2.08274
-12.315,0.539976
-12.1652,-4.29416
-12.2379,0.802362
-12.1001,-6.58368
-12.0743,-4.16923
-12.1038,-0.603772
-12.0232,4.80369
-11.8888,-6.88642
-11.9306,-5.0751
-11.8725,-4.40447
-11.9235,-3.50338
-11.8891,-2.49111
-11.867,-0.459632
-11.9286,2.24221
-11.9465,4.42563
-11.7701,-2.6034
-11.8396,-2.59188
-11.7831,-1.05906
-11.6986,-3.84942
-11.7269,-0.668145
-11.7168,-0.132652
-11.726,4.89226
-11.6383,0.747855
-11.601,1.96438
-11.585,3.87746
-11.5605,4.48634
-11.6491,4.60278
-11.5036,-1.78485
-11.5126,-1.75883
-11.5187,-1.18199
-11.5495,2.70913
-11.4389,-3.32239
-11.3956,-3.33103
-11.396,-2.44687
-11.3736,-1.17545
-11.2865,-1.51501
-11.2628,1.54988
-11.3026,1.88103
-11.2918,3.37824
-11.2109,-4.73205
-11.1747,-4.55754
-11.1778,-4.11315
-11.1553,-2.45214
-11.2481,2.20902
-11.0864,-3.65518
-11.0594,-1.4476
-11.1356,2.15367
-11.0556,4.53309
-11.0003,-3.36797
-11.0408,-3.2762
-10.9938,-3.09671
-10.9608,-2.9193
-10.967,-2.46697
-10.953,-0.549892
-10.9909,0.628106
-10.9715,3.00995
-11.0132,4.26878
-11.0121,7.0874
-10.891,-5.35936
-10.9009,-2.0995
-10.9138,-1.89689
-10.8776,1.08277
-10.9354,2.74797
-10.8778,3.25028
-10.8917,4.04053
-10.7755,-7.05813
-10.8131,-5.8655
-10.8498,-4.15645
-10.8017,-1.95537
-10.7642,-1.11079
-10.7947,-0.553187
-10.8048,2.44263
-10.7781,2.48448
-10.755,2.48214
-10.8116,3.17341
-10.8482,3.77228
-10.656,-3.96785
-10.6735,-3.74705
-10.6556,-3.36022
-10.692,-1.55657
-10.738,2.24536
-10.6941,3.01687
-10.6545,4.46833
-10.7094,5.78622
-10.6182,-3.12201
-10.6095,-2.59006
-10.6034,-1.7984
-10.6269,-1.67427
-10.5806,-1.65056
-10.6421,-1.68763
-10.632,-1.46932
-10.6188,0.813112
-10.6203,6.13888
-10.493,-9.393
-10.4873,-8.16573
-10.5112,-7.95248
-10.5378,-5.2658
-10.4797,1.01528
-10.5331,2.66048
-10.5429,4.59112
-10.4359,-6.45606
-10.4312,-5.86456
-10.4435,1.92625
-10.3874,4.72142
-10.3706,4.6653
-10.3049,-6.39567
-10.3353,-5.07422
-10.3202,-3.10345
-10.2549,-2.36168
-10.3058,1.60516
-10.2876,3.35374
-10.2661,4.88995
-10.1812,-5.63987
-10.1997,-5.35912
-10.1965,-3.77014
-10.1948,0.514335
-10.199,2.8514
-10.1762,3.35963
-10.1824,3.65056
-10.0818,-4.65344
-10.1098,-1.07821
-10.0704,-0.242807
-10.1288,2.97626
-10.1393,3.32425
-10.1024,3.47609
-10.0527,4.66541
-10.1318,5.66954
-9.9975,-5.64182
-9.99216,-5.63533
-9.97949,-5.08172
-10.0311,-1.95926
-10.0376,1.56232
-10.0019,2.50622
-9.96964,2.97513
-9.98191,5.48534
-9.90234,-8.35916
-9.92588,-5.68579
-9.87239,-5.62654
-9.85828,-5.18532
-9.90139,-4.3138
-9.8698,-3.27658
-9.85848,-2.54536
-9.92686,-2.33672
-9.85366,-1.99848
-9.88817,0.421859
-9.92109,3.32621
-9.94373,3.83597
-9.7757,-7.51689
-9.79137,-6.26186
-9.77231,-4.64205
-9.81056,-3.87855
-9.79079,0.0376564
-9.79763,0.386186
-9.77726,3.25545
-9.83405,4.65522
-9.81009,5.56946
-9.84127,6.14341
-9.66775,-6.26775
-9.72276,-3.87735
-9.6877,-3.404
-9.74595,-2.67897
-9.70971,-0.234174
-9.67843,-0.185098
-9.74154,0.121785
-9.72979,0.419522
-9.74966,2.81318
-9.5932,-6.94466
-9.57519,-3.12399
-9.6178,-1.92707
-9.64983,-0.762855
-9.61285,2.86642
-9.63466,2.99198
-9.5764,3.9167
-9.56104,4.17999
-9.55582,4.31273
-9.64236,4.80855
-9.54953,-6.7427
-9.51322,-6.37097
-9.46008,-5.65646
-9.48539,-5.18472
-9.52786,-4.89392
-9.52406,-3.06376
-9.51043,-2.73707
-9.50069,-2.43496
-9.46167,-1.8914
-9.4918,-0.170409
-9.53921,-0.212151
-9.50532,0.351964
-9.54586,2.31688
-9.47302,2.71538
-9.5359,2.93683
-9.47557,3.87803
-9.45648,5.87524
-9.5146,6.42668
-9.49119,6.89277
-9.51625,7.17673
-9.52951,7.27049
-9.48332,8.44998
-9.40185,-7.73779
-9.36905,-5.93717
-9.38857,-0.239206
-9.37105,3.41309
-9.44145,3.85128
-9.40236,4.04133
-9.36008,4.10632
-9.42117,4.1505
-9.3686,4.62602
-9.44932,4.96158
-9.37738,7.38023
-9.34989,-6.25963
-9.33085,-6.21742
-9.27898,-4.41689
-9.28637,-2.75549
-9.30323,-0.677659
-9.33659,2.11947
-9.32675,3.11662
-9.29795,3.51847
-9.33553,3.89805
-9.26035,4.3288
-9.21965,-8.84831
-9.17911,-7.23104
-9.18062,-5.66653
-9.24797,-5.74978
-9.15845,-4.40638
-9.23584,-2.74967
-9.22409,-1.23853
-9.23298,0.272986
-9.15301,2.12097
-9.18066,2.36184
-9.2021,3.19289
-9.13505,-4.83341
-9.11807,-4.24096
-9.08914,-1.64911
-9.0808,0.856142
-9.0956,2.26257
-9.0936,4.10942
-8.98822,-6.00318
-9.02681,-3.23966
-9.00477,-1.19786
-9.01859,1.13458
-9.03194,2.23968
-9.04691,2.97126
-8.99037,3.10095
-8.99595,3.62664
-8.98211,4.12576
-9.01872,4.44908
-8.99543,5.42225
-9.00371,10.1474
-8.9459,-6.98893
-8.94938,-6.10554
-8.88821,-3.81519
-8.86307,-2.64313
-8.92429,-2.57155
-8.92265,-1.48784
-8.94992,0.21618
-8.93343,2.63095
-8.89631,2.67534
-8.85378,4.96162
-8.94453,5.24874
-8.89465,6.06999
-8.86429,7.32081
-8.86217,7.75973
-8.87279,8.36145
-8.90554,8.56739
-8.80915,-8.96815
-8.79219,-5.70565
-8.77324,-4.95048
-8.81758,-3.2578
-8.75223,-2.38541
-8.84508,-2.0256
-8.79533,-0.0182953
-8.77225,0.865656
-8.79736,1.90205
-8.79944,6.8309
-8.78469,8.34988
-8.77996,8.62041
-8.7271,-1.8271
-8.66358,0.024828
-8.68908,-0.0195675
-8.71198,-0.0294511
-8.72016,2.5294
-8.74966,7.38963
-8.66451,8.02358
-8.57893,-4.50795
-8.63721,-1.74597
-8.64597,-0.00401477
-8.55462,2.24821
-8.55327,3.67537
-8.54157,-9.56777
-8.47909,-8.35648
-8.49836,-7.27616
-8.46501,-4.83902
-8.48595,-4.23667
-8.54769,-3.77105
-8.50776,-2.80688
-8.53428,1.90597
-8.54735,2.18512
-8.52715,4.33122
-8.54733,4.94992
-8.52958,4.92641
-8.52515,4.9821
-8.4728,5.01056
-8.41639,-5.56514
-8.40918,-4.56638
-8.39064,-2.46086
-8.36464,2.03364
-8.4322,5.05623
-8.42,5.07445
-8.38388,7.47237
-8.37743,7.82183
-8.39068,8.23183
-8.27518,-10.0833
-8.27067,-7.9376
-8.28606,-7.59318
-8.29254,-5.21077
-8.3101,-4.96459
-8.32267,1.75975
-8.33178,2.16226
-8.34251,2.99477
-8.32218,4.7577
-8.30922,6.21118
