x,y
-15.2198,-1.9347
-14.5058,-0.534984
-14.3902,0.530512
-14.3275,-1.8686
-14.2111,-0.191975
-14.0713,-3.21622
-14.0702,-0.353235
-14.0787,0.488003
-14.1482,1.91678
-14.145,3.62801
-13.9884,-3.73018
-13.9925,1.1064
-13.9559,4.15043
-13.863,0.241603
-13.9494,1.10822
-13.9121,1.58786
-13.9435,3.54248
-13.8385,-1.31683
-13.7795,-0.0406454
-13.7713,1.03759
-13.7671,2.09043
-13.7554,5.68143
-13.6716,-2.68745
-13.7049,-2.13968
-13.7308,-1.30803
-13.6595,0.423459
-13.7314,1.01578
-13.7155,1.32498
-13.7131,2.41518
-13.7342,6.83607
-13.6443,-2.02016
-13.5601,-1.93098
-13.59,-1.88232
-13.6169,-1.40506
-13.5893,-1.19442
-13.65,-0.645145
-13.6391,0.262462
-13.5605,1.26638
-13.5543,2.25445
-13.6251,3.26103
-13.5113,-5.54798
-13.4552,-2.49933
-13.5209,-1.48759
-13.482,-1.39461
-13.496,-0.995014
-13.4844,-0.892304
-13.5415,-0.794629
-13.5477,0.0991858
-13.5157,0.0843244
-13.4543,0.256989
-13.5467,0.698738
-13.5219,2.41492
-13.4694,4.05227
-13.4366,-3.03302
-13.4159,-2.13468
-13.371,-2.0096
-13.4496,-1.79711
-13.3664,-1.26279
-13.3809,-1.34248
-13.3641,-1.06406
-13.4065,-0.424406
-13.4271,0.620517
-13.4303,1.46497
-13.4105,1.79986
-13.3995,2.11883
-13.4187,2.5229
-13.3593,3.21238
-13.3985,3.83565
-13.4491,4.48173
-13.4031,5.11029
-13.2927,-3.70644
-13.3359,-3.6777
-13.2937,-3.33808
-13.2711,-2.9645
-13.2687,-1.09729
-13.2808,-1.14119
-13.2987,-0.458387
-13.2516,-0.0969123
-13.3134,-0.0337843
-13.3405,0.356247
-13.3369,1.03616
-13.3329,1.29235
-13.3134,1.3512
-13.2652,2.06562
-13.2723,2.42042
-13.3197,2.47613
-13.3157,4.5868
-13.3498,5.30925
-13.1721,-3.36517
-13.2357,-2.60068
-13.1933,-2.2566
-13.2498,-2.16163
-13.1599,-1.53041
-13.1511,-1.01713
-13.245,-0.698614
-13.2271,-0.488567
-13.1776,0.548821
-13.2158,1.03389
-13.1792,1.37412
-13.2231,2.07612
-13.2282,2.16339
-13.2224,2.64774
-13.2489,2.76112
-13.2107,2.77779
-13.2345,3.29277
-13.2072,3.42287
-13.2223,5.0368
-13.0782,-3.86659
-13.1224,-2.80554
-13.0576,-2.84956
-13.1253,-2.28777
-13.0791,-2.06544
-13.0576,-2.05309
-13.1429,-1.21981
-13.0702,-0.85963
-13.0803,-0.754296
-13.133,-0.520554
-13.1125,-0.35052
-13.0686,-0.13523
-13.1233,-0.0307421
-13.1242,1.70026
-13.141,1.7239
-13.1497,2.34175
-13.1345,3.2152
-13.1368,3.27855
-13.1282,3.86886
-13.1329,6.67331
-12.9932,-4.4621
-12.9886,-3.5076
-13.0053,-2.83524
-13.0218,-2.75119
-12.9938,-2.66927
-13.0039,-1.77291
-12.9622,-1.52019
-12.9793,-1.36247
-13.0152,-1.31837
-12.9557,-0.949691
-12.9692,-0.589269
-13.0112,-0.25367
-12.9818,-0.138383
-12.9943,0.57654
-13.0384,1.46869
-12.9779,2.5597
-12.9696,3.52207
-12.9983,3.59154
-12.9763,3.90218
-13.0492,6.0367
-13.0231,6.35584
-12.8654,-5.32389
-12.8959,-4.54079
-12.9129,-4.13063
-12.8718,-3.42963
-12.9132,-3.35944
-12.8891,-2.10685
-12.892,-1.20354
-12.8642,-0.454227
-12.9059,-0.532886
-12.9307,0.389864
-12.8651,0.961532
-12.9015,1.2685
-12.9076,1.71805
-12.8831,1.91261
-12.8685,1.87879
-12.8586,2.80925
-12.861,3.13303
-12.8721,3.62199
-12.885,3.87116
-12.9102,3.97223
-12.9298,4.13173
-12.9488,4.15133
-12.9475,4.44194
-12.8633,4.91618
-12.9244,4.96948
-12.7623,-7.83736
-12.79,-5.50862
-12.7921,-3.19124
-12.8107,-2.78792
-12.7899,-2.72472
-12.8249,-2.42346
-12.8401,-2.27202
-12.7581,-2.20837
-12.7609,-1.62331
-12.8328,-1.29361
-12.8007,-1.14989
-12.8386,-0.996556
-12.786,-0.986041
-12.8412,-0.589396
-12.8063,-0.504504
-12.819,0.258628
-12.8449,0.606626
-12.7725,0.648952
-12.756,0.979689
-12.7562,1.02723
-12.8443,1.19399
-12.8277,1.34599
-12.7513,2.53835
-12.7672,2.64732
-12.816,4.81479
-12.8131,5.10143
-12.8469,5.36431
-12.8133,8.11492
-12.6617,-7.03372
-12.6728,-6.03638
-12.6632,-5.15029
-12.6822,-2.64786
-12.7197,-2.39397
-12.7366,-1.93853
-12.6898,-0.831292
-12.7217,-0.678104
-12.7137,0.591549
-12.7183,1.32228
-12.746,1.66646
-12.7472,1.74049
-12.7383,1.7588
-12.6618,1.84349
-12.6678,2.04544
-12.6731,2.49217
-12.7495,2.67197
-12.6683,2.90454
-12.7399,4.0428
-12.6271,-6.44386
-12.6006,-5.38679
-12.6069,-5.13857
-12.6106,-4.89819
-12.6275,-4.74977
-12.5762,-4.29996
-12.6299,-4.18843
-12.5543,-3.7259
-12.6342,-3.14454
-12.5757,-2.3796
-12.5537,-2.37492
-12.6245,-2.31957
-12.6037,-1.78831
-12.6163,-1.62365
-12.5678,-1.41214
-12.6479,-1.22534
-12.5751,-1.11611
-12.5831,-0.790762
-12.5888,-0.585244
-12.5586,-0.542694
-12.5712,0.0990362
-12.6066,0.235719
-12.6487,0.617898
-12.6415,0.658469
-12.5532,0.669287
-12.6083,0.84512
-12.5841,1.77148
-12.6485,1.97693
-12.6,2.55676
-12.5681,2.73243
-12.5898,3.13564
-12.585,3.23336
-12.6499,3.38727
-12.627,3.36589
-12.6271,3.48777
-12.5519,3.74813
-12.6049,3.66388
-12.5762,3.75313
-12.5673,4.24414
-12.5779,4.22215
-12.6499,4.34065
-12.5896,4.39335
-12.6073,4.53169
-12.572,5.99739
-12.4946,-5.30679
-12.4695,-5.22187
-12.502,-4.85885
-12.5056,-4.00913
-12.4703,-3.68207
-12.5115,-3.38409
-12.47,-3.34571
-12.5391,-3.06619
-12.4651,-2.95662
-12.5053,-2.90535
-12.4961,-2.799
-12.5422,-2.19072
-12.4634,-2.06955
-12.5335,-2.05141
-12.5059,-1.69928
-12.5069,-1.59878
-12.5292,-1.53123
-12.5027,-1.28188
-12.5496,-1.24729
-12.4843,-0.866947
-12.4893,-0.660786
-12.5295,0.544842
-12.5352,0.888637
-12.4843,1.56321
-12.4778,1.82203
-12.5385,1.85071
-12.4882,2.4071
-12.471,2.69353
-12.5008,2.91699
-12.5417,3.02124
-12.4501,2.98437
-12.4607,3.08216
-12.4937,3.28242
-12.5231,3.40203
-12.5034,3.60979
-12.5047,4.06958
-12.5484,4.17023
-12.4954,4.53153
-12.5077,4.78887
-12.5296,5.01341
-12.5062,5.14323
-12.4231,-6.54652
-12.3663,-6.16343
-12.3732,-4.49811
-12.3779,-3.50136
-12.3787,-3.21814
-12.4214,-3.17843
-12.4183,-3.22309
-12.3754,-2.97541
-12.3637,-2.79264
-12.4398,-2.63013
-12.3818,-1.92425
-12.4484,-1.55891
-12.4129,-1.55744
-12.3639,-1.44711
-12.3847,-1.194
-12.4329,-1.13128
-12.4052,-0.914859
-12.3975,-0.829315
-12.4051,-0.428137
-12.3903,-0.0640105
-12.3549,0.0290797
-12.3597,0.0613571
-12.3547,0.49744
-12.4453,0.554709
-12.3985,1.14784
-12.3555,1.18787
-12.3865,1.17969
-12.4056,1.40224
-12.3872,1.61044
-12.406,1.72289
-12.3742,1.75032
-12.4119,2.08274
-12.3622,2.23534
-12.3712,2.32865
-12.4276,2.32534
-12.3947,2.41834
-12.4436,2.48469
-12.4349,2.4989
-12.3823,2.51314
-12.4014,2.5529
-12.4141,2.72663
-12.4388,3.29526
-12.3916,3.44896
-12.3653,3.77966
-12.368,3.78021
-12.3924,3.90728
-12.3971,4.14873
-12.4329,4.37146
-12.4151,4.88473
-12.4482,5.62951
-12.3953,5.71181
-12.4127,6.42054
-12.3718,6.40849
-12.4464,7.06249
-12.4369,7.90435
-12.3313,-6.62166
-12.2537,-6.24337
-12.2893,-5.65383
-12.3344,-4.65552
-12.3271,-4.72144
-12.2765,-4.28392
-12.3355,-3.8614
-12.2737,-3.39516
-12.2968,-3.08449
-12.3498,-3.04985
-12.2997,-2.94912
-12.2629,-2.85857
-12.2985,-2.48187
-12.3264,-1.45918
-12.2877,-1.25531
-12.3076,-1.01437
-12.2599,-1.03419
-12.2688,-0.922665
-12.2936,-0.857724
-12.3135,-0.72866
-12.3442,-0.376727
-12.2557,-0.234585
-12.3122,-0.0701851
-12.2912,-0.0911681
-12.3394,0.18948
-12.279,0.260054
-12.315,0.539976
-12.336,0.665947
-12.2978,0.961826
-12.3309,1.05182
-12.2772,1.07099
-12.2625,1.07902
-12.2711,1.1155
-12.3244,1.22732
-12.3141,1.56115
-12.2854,2.29064
-12.256,2.29667
-12.3403,2.38384
-12.3333,2.61046
-12.3342,3.03992
-12.3135,3.49691
-12.3305,4.33319
-12.2664,4.25563
-12.346,4.43129
-12.2787,4.45697
-12.2936,4.91898
-12.3009,6.77552
-12.1853,-7.91221
-12.2392,-5.49923
-12.1881,-5.01965
-12.184,-4.49578
-12.1652,-4.29416
