x,y
-13.9733,-2.77085
-13.8271,-6.62355
-13.7497,-3.06799
-13.3546,0.680654
-13.3506,4.01127
-13.323,1.22693
-13.1935,-1.46798
-13.1709,-1.10572
-13.1327,-3.88662
-13.0991,1.55111
-12.9039,-3.26867
-12.9118,-3.014
-12.9188,-0.625627
-12.9191,-0.346734
-12.8919,2.74581
-12.7902,1.23712
-12.5998,-4.70728
-12.4957,-0.787051
-12.5161,0.587971
-12.4581,1.0789
-12.3779,-2.24448
-12.3966,4.86261
-12.3076,1.08492
-12.3392,1.73043
-12.2907,2.81693
-12.1969,-1.51102
-12.1957,-1.07613
-12.2097,-0.0863693
-12.1218,-0.755994
-12.1436,1.61732
-11.9595,-4.72355
-11.9889,-1.28078
-11.89,2.24243
-11.7593,-3.86512
-11.8164,-3.82881
-11.7899,-3.51046
-11.8479,-2.33356
-11.7935,-0.982475
-11.7923,1.40914
-11.6965,0.0873272
-11.7171,0.16306
-11.6708,0.419103
-11.6533,0.709554
-11.6787,2.40548
-11.6714,6.22482
-11.5994,-5.08464
-11.6007,-3.35294
-11.5741,-3.3861
-11.6121,-3.1666
-11.5941,-2.48086
-11.5665,-0.102715
-11.5973,0.545872
-11.6112,3.32426
-11.617,3.83499
-11.5451,-3.36534
-11.4788,-2.66968
-11.5319,-1.59577
-11.4563,-1.17198
-11.4711,-0.969489
-11.4505,-0.52919
-11.4831,0.039729
-11.518,0.0664085
-11.4849,1.27134
-11.5156,2.25411
-11.5137,3.29203
-11.4474,-3.44972
-11.3804,-3.08417
-11.4474,-3.04972
-11.4162,-2.93316
-11.3804,-2.38417
-11.4279,-1.30535
-11.4087,0.354152
-11.356,1.25506
-11.4441,8.13104
-11.2928,-7.04272
-11.3236,-3.01943
-11.26,-1.0096
-11.2636,-0.902993
-11.2738,-0.896617
-11.3088,1.91386
-11.3032,3.42063
-11.2721,4.38151
-11.2079,-7.04821
-11.2213,-2.9426
-11.2006,-0.272444
-11.2039,0.244539
-11.1733,1.74237
-11.2155,1.82631
-11.1873,3.07213
-11.2119,3.41277
-11.1163,-6.74694
-11.0506,-5.68228
-11.1408,-4.21878
-11.0612,-0.870936
-11.1389,-0.572973
-11.0853,-0.466799
-11.0853,-0.366799
-11.0526,0.578212
-11.0977,2.07467
-11.0946,3.07217
-10.9872,-4.08428
-11.0377,-1.06181
-10.9948,-0.762731
-11.0276,-0.482641
-11.0001,0.599234
-11.0138,1.88439
-11.0458,3.33052
-11.0142,5.0712
-11.0115,5.29185
-10.988,7.35693
-10.85,-6.51902
-10.9005,-1.04057
-10.9014,-0.535937
-10.9382,-0.255066
-10.9132,-0.0855473
-10.9307,0.936636
-10.9151,1.22775
-10.9097,1.52581
-10.8952,2.45816
-10.8715,3.70368
-10.8839,4.15856
-10.9188,5.26159
-10.8033,-7.20184
-10.7778,-3.28217
-10.7501,-2.96474
-10.7868,-2.74161
-10.791,-2.63754
-10.7581,-1.31899
-10.8375,-0.416622
-10.776,0.571179
-10.8392,2.18771
-10.8238,4.56369
-10.8277,5.46754
-10.7618,7.58339
-10.7383,-8.01703
-10.6992,-5.57802
-10.712,-4.66209
-10.668,-4.57847
-10.733,0.389508
-10.6872,0.713493
-10.677,2.20095
-10.7353,2.31957
-10.7321,2.77714
-10.6629,3.18979
-10.7221,5.30664
-10.7158,6.32075
-10.6232,-2.89137
-10.5622,-0.193196
-10.6326,3.03519
-10.4568,-5.20359
-10.4616,-3.12362
-10.4526,-3.14615
-10.5215,-2.92242
-10.4942,-2.12929
-10.4885,-0.436346
-10.4644,-0.142232
-10.4828,0.564789
-10.458,0.662306
-10.4931,3.04497
-10.4982,2.95633
-10.4581,3.29256
-10.5351,5.53935
-10.4658,6.60001
-10.3973,-6.37202
-10.4216,-4.48737
-10.3794,-4.22742
-10.409,-3.21488
-10.4456,-2.04631
-10.3834,-1.58281
-10.4018,-1.00354
-10.3698,0.421463
-10.405,0.563202
-10.3698,0.721463
-10.3698,0.821463
-10.3546,1.08065
-10.4268,1.61214
-10.4066,2.59255
-10.423,2.72693
-10.3906,5.49259
-10.4178,5.70166
-10.2709,-6.23809
-10.3103,-5.86839
-10.3192,-5.06664
-10.32,-4.31557
-10.338,-2.92539
-10.3336,-1.06566
-10.3464,-0.957369
-10.2874,-0.751089
-10.2765,0.432479
-10.2692,0.720209
-10.3227,2.49927
-10.3034,3.93423
-10.3007,4.84706
-10.296,6.55732
-10.3263,8.26686
-10.1941,-6.98086
-10.1583,-4.68719
-10.2339,-4.32206
-10.1943,-3.78619
-10.2264,-3.72474
-10.2346,-3.63538
-10.2339,-3.32206
-10.1533,-3.09045
-10.1834,-3.09526
-10.1921,-2.86342
-10.2444,-2.52596
-10.2417,-1.16822
-10.2343,-0.850792
-10.2056,-0.579644
-10.2346,-0.535385
-10.1557,-0.155254
-10.1941,0.319141
-10.1851,3.05873
-10.1744,3.87029
-10.2084,6.46354
-10.2007,7.08605
-10.174,7.34708
-10.0716,-6.35938
-10.054,-6.07216
-10.0635,-3.83854
-10.1153,-3.57626
-10.1246,-3.31377
-10.115,-2.86108
-10.1161,-1.88933
-10.0973,-1.65413
-10.117,-0.0650088
-10.056,0.255056
-10.1283,0.437605
-10.1363,0.643204
-10.1351,2.90682
-10.1275,3.0621
-9.98458,-3.86252
-9.95165,-1.72395
-10.0489,-1.42961
-9.98199,-0.444564
-9.97266,-0.266727
-9.9998,-0.307281
-9.97675,-0.0966219
-9.96098,0.13985
-9.98959,0.32612
-9.95797,0.485494
-9.98595,0.66878
-9.95416,0.730506
-9.97425,0.812313
-9.97545,1.85861
-9.98473,3.50685
-9.95657,4.28439
-10.018,4.35311
-9.97708,4.79968
-9.96527,6.48298
-9.92393,-5.40803
-9.86853,-4.45987
-9.86853,-3.05987
-9.94517,-2.04262
-9.93448,-1.67789
-9.92421,-1.4507
-9.94517,-1.44262
-9.92364,-0.637728
-9.87164,-0.0609989
-9.93629,0.476949
-9.87054,0.475337
-9.93862,1.42669
-9.89214,1.66116
-9.9349,3.24398
-9.86314,3.9381
-9.91626,5.08016
-9.9408,5.59604
-9.90124,6.75058
-9.75642,-4.4305
-9.83156,-4.29045
-9.80054,-3.68639
-9.75043,-3.22245
-9.75734,-3.10771
-9.80385,-2.6898
-9.83559,-1.94482
-9.77656,-1.75808
-9.81631,-0.846939
-9.84223,-0.772607
-9.82221,-0.813077
-9.78915,-0.700656
-9.83792,0.0336827
-9.80798,0.794647
-9.78565,3.5729
-9.78565,3.5729
-9.76447,3.88615
-9.808,4.05882
-9.82478,5.74822
-9.839,5.81948
-9.8334,6.05429
-9.83539,7.64222
-9.74613,-6.51447
-9.74851,-4.47183
-9.73654,-3.57354
-9.6691,-3.24521
-9.68002,-3.14372
-9.6655,-2.87868
-9.66073,-1.69223
-9.70093,-0.550511
-9.6818,0.601824
-9.67391,1.39373
-9.73914,1.47679
-9.6941,1.76598
-9.68039,1.78058
-9.70894,2.44706
-9.66775,2.93451
-9.67838,3.51914
-9.65334,4.2297
-9.72135,4.627
-9.692,8.16163
-9.74677,8.58323
-9.60722,-5.54033
-9.63388,-1.09157
-9.59209,-0.267605
-9.62455,-0.276887
-9.63381,0.928687
-9.6111,0.9177
-9.60524,1.06186
-9.64485,1.14238
-9.63869,1.41713
-9.64305,1.64788
-9.57787,2.08482
-9.64582,3.73841
-9.55468,4.35793
-9.56326,4.86202
-9.64241,5.56784
-9.63032,5.93773
-9.60457,6.8961
-9.51191,-5.69491
-9.54775,-5.07308
-9.52323,-4.28375
-9.45231,-4.01783
-9.4719,-2.87957
-9.52601,-2.75102
-9.48159,-2.07038
-9.50953,-1.31206
-9.49027,-0.00583015
-9.52386,0.00406444
-9.47422,0.37781
-9.52537,0.617376
-9.50411,0.639791
-9.48868,1.8933
-9.52961,3.66605
-9.47412,3.80627
-9.47316,5.85112
-9.51602,8.38419
-9.50496,9.30192
-9.44806,-6.42128
-9.42091,-4.31557
-9.40194,-4.1366
